microkinetic_name,microkinetic_type,ligand_name,exp_yield,exp_error,min_of_max_barrier,MK_TFIN,MK_TREP,MK_DT,comp_yield_1.0,c2_yield_1.0,comp_yield_5.0,c2_yield_5.0,comp_yield_3.5,c2_yield_3.5,barrier_tuning_to_parity
ester-3e-pcy3,ester,3e-pcy3,0.036,0.028,16.30834596,100.0,0.1,0.01,7.262328803278104e-07,0.09876342766904692,3.632642882476097e-06,0.09725621524090028,2.542715578921508e-06,0.09769903442973986,3.305191583
ester-3h-ptbu3,ester,3h-ptbu3,0.907,0.0186,14.02761524,1000.0,1.0,0.1,0.916474568749188,0.051229664424289556,0.9920090524142987,0.007990600160272603,0.9898865050769756,0.010113218937141028,-0.76956578
ester-3j-iprjohnphos,ester,3j-iprjohnphos,0.085,0.0431,12.80648163,100.0,0.1,0.01,0.005383986500427865,0.09999083242926145,0.02288100857154644,0.09998919224662263,0.016971748316801934,0.09998980447128016,0.536239374
ester-3m-cyjohnphos,ester,3m-cyjohnphos,0.106,0.0057,15.33099982,100.0,0.1,0.01,0.0006672743932879823,0.09995444112600492,0.0032681360869036037,0.09995104685233487,0.0023053819676026772,0.09995170655768648,1.27805118
ester-3t-tbujohnphos,ester,3t-tbujohnphos,0.7,0.0155,14.89200966,100000.0,100.0,10.0,0.15350959664359182,0.09940862921488808,0.7622675673035105,0.09940166745876833,0.5350347128069337,0.09940378880101575,0.09811504
ester-6cn3e-pcy3,ester,6cn3e-pcy3,0.036,0.028,15.92933019,100.0,0.1,0.01,1.1656681105308856e-06,0.09828387232312734,5.8312935965002175e-06,0.09620326309718702,4.081688347650425e-06,0.09681320451120963,3.011073484
ester-6cn3h-ptbu3,ester,6cn3h-ptbu3,0.907,0.0186,13.4672492,100.0,0.1,0.01,0.8743456793144098,0.009515675907122833,0.9975984587950698,0.0023995438897589315,0.9971371854002635,0.0028408379358858733,-1.163063662
ester-6cn3m-cyjohnphos,ester,6cn3m-cyjohnphos,0.106,0.0057,15.42700878,1.0,0.001,0.0001,9.179943250453336e-05,0.0991049853907899,0.00041793628635993906,0.09613296656404491,0.00030271154146502277,0.09718282273205382,1.227750838
ester-6cn3t-tbujohnphos,ester,6cn3t-tbujohnphos,0.7,0.0155,14.55037793,10000.0,10.0,1.0,0.19044365175669667,0.09900846661106395,0.8995195256567128,0.09378993438193477,0.66293683920288,0.09899695477187259,0.020159462
ester-6ome3e-pcy3,ester,6ome3e-pcy3,0.036,0.028,18.29064866,10000.0,10.0,1.0,3.343074437095118e-07,0.0970749024683059,1.6896394280464993e-06,0.09357110288641528,1.1792497452015494e-06,0.09459293428402256,3.416023858
ester-6ome3h-ptbu3,ester,6ome3h-ptbu3,0.907,0.0186,16.24523402,10000.0,10.0,1.0,0.08481296209757402,0.09998966693394563,0.3395033139142983,0.09998685292936342,0.2569539302445094,0.09998791289136735,0.470871921
ester-6ome3m-cyjohnphos,ester,6ome3m-cyjohnphos,0.106,0.0057,17.01523548,10.0,0.01,0.001,3.926382895742029e-05,0.09954291033405277,0.00019475635411092586,0.09903045225561351,0.000136742237264089,0.09917618375486711,2.20923051
ester-6ome3t-tbujohnphos,ester,6ome3t-tbujohnphos,0.7,0.0155,16.82949265,1000000.0,1000.0,100.0,0.08251362609451912,0.09938119000588636,0.4124694559375981,0.09937701003388583,0.28879152966476146,0.09937759852031555,0.31512044
hc-3e-pcy3,hc,3e-pcy3,0.036,0.028,16.30834596,10000.0,10.0,1.0,0.0009599254727169733,1.8442937263774445e-17,0.004631948448820101,1.1531098870611579e-17,0.0032853409410564896,1.3691553239453731e-17,0.797992768
hc-3h-ptbu3,hc,3h-ptbu3,0.907,0.0186,14.02761524,10.0,0.01,0.001,0.5384941553991629,8.878040315595133e-07,0.9633418208594783,5.32514949478096e-07,0.9506703082573205,7.151624295835752e-07,-0.225304975
main-3a-pph3,main,3a-pph3,0.008,0.0001,13.59342585,10.0,0.01,0.001,0.038162200812916415,0.09995071759897568,0.07116958011116381,0.09986477849249074,0.0649352184727145,0.0998966472519075,-0.705326656
main-3aa-adbrettphos,main,3aa-adbrettphos,0.252,0.0105,20.76832293,100000.0,100.0,10.0,0.8471834748211513,0.04257444609156868,0.9935034901021869,0.006495805515823248,0.9910661925741254,0.008933190534948244,-1.286150962
main-3b-potol3,main,3b-potol3,0.647,0.0333,14.42644479,10.0,0.01,0.001,0.1325318429738264,0.09998311096313627,0.18868603644713744,0.09993425089036961,0.18064287739515691,0.09995260681159787,0.436352063
main-3c-pipr3,main,3c-pipr3,0.035,0.0131,16.90040123,10.0,0.01,0.001,0.014601863507646116,0.09809827289638869,0.07144197301870955,0.09786603446517182,0.05043048686077099,0.09790832795710949,-0.12160359
main-3d-pcpt3,main,3d-pcpt3,0.04,0.0091,15.33131358,1.0,0.001,0.0001,0.008078308001634197,0.09962927714159181,0.02358760600754151,0.0993551164810265,0.01956598741368859,0.09945558212128655,0.237290928
main-3e-pcy3,main,3e-pcy3,0.036,0.028,16.30834596,10.0,0.01,0.001,0.0010276826690352055,0.09962451417575129,0.004945874124974156,0.09951528069968274,0.0035114417458260664,0.09953638031837159,0.778474339
main-3f-pcy2tbu,main,3f-pcy2tbu,0.1,0.0255,12.2213762,0.1,0.0001,1e-05,0.0030966439725121347,0.09883243397371733,0.013555452422749888,0.0983667495582054,0.009954935882913012,0.09848464938120058,0.768171311
main-3g-ptbu2cy,main,3g-ptbu2cy,0.322,0.0127,17.1379136,100.0,0.1,0.01,0.02779616185011064,0.09993279153845151,0.13764568882086678,0.09993198725564657,0.09670169947086579,0.09993225439545636,0.409421021
main-3h-ptbu3,main,3h-ptbu3,0.907,0.0186,14.02761524,10.0,0.01,0.001,0.5398032316281132,0.09998361544338884,0.9634471722618103,0.03654851113915519,0.9508773942888751,0.04911889373748578,-0.229600821
main-3i-pad3,main,3i-pad3,0.43,0.0466,13.97306913,10.0,0.01,0.001,0.6282237747344501,0.09999696426831885,0.9220263801834975,0.0779559607364541,0.9153595596268244,0.08462817791290103,-0.347099945
main-3j-iprjohnphos,main,3j-iprjohnphos,0.085,0.0431,12.80648163,100.0,0.1,0.01,0.9347303481627471,0.05408084264160174,0.9919212222499791,0.008077651808920854,0.9899246018819127,0.010074516905978732,-1.61725928
main-3k-phjohnphos,main,3k-phjohnphos,0.186,0.0007,14.67368356,10.0,0.01,0.001,0.06062364537554126,0.0995491889447745,0.06604529909687196,0.0979561565926032,0.06540988656334432,0.09853663662554638,0.359488189
main-3l-phdavephos,main,3l-phdavephos,0.089,0.0,15.49007349,100.0,0.1,0.01,0.04740477071760362,0.09501367892097407,0.20140165730437126,0.09372470320512928,0.1493220689762739,0.09411509169072395,-0.176328855
main-3m-cyjohnphos,main,3m-cyjohnphos,0.106,0.0057,15.33099982,100.0,0.1,0.01,0.2746688086635691,0.09997252367788896,0.4851964523401077,0.09984026733067834,0.4450268370095295,0.09988855037267586,-0.519468971
main-3n-cymephos,main,3n-cymephos,0.154,0.0276,15.3228422,100.0,0.1,0.01,0.20818492056495103,0.0999935435881032,0.5015781648545293,0.09998477499764241,0.42652832695473575,0.09998776843427419,-0.412277525
main-3o-davephos,main,3o-davephos,0.209,0.0323,17.96308867,10000.0,10.0,1.0,0.010683525521367017,0.09939117996785535,0.053349870158022575,0.0993631225058728,0.03736675787853922,0.09936665761902566,0.578988746
main-3p-sphos,main,3p-sphos,0.15,0.0029,17.96089239,10000.0,10.0,1.0,0.14112710475387003,0.09998677135926445,0.5542505892673042,0.09998256391514554,0.4185853154097213,0.09998399782379802,-0.391908917
main-3q-ruphos,main,3q-ruphos,0.11,0.0175,16.48404864,100.0,0.1,0.01,0.003408889521806428,0.09998652324012308,0.01697277119550677,0.0999082484856629,0.011901358737713067,0.09994603038175141,0.741247146
main-3r-xphos,main,3r-xphos,0.124,0.0278,15.79190559,1000.0,1.0,0.1,0.004269958362716805,0.09990388079805648,0.021274641724875556,0.09990181464448111,0.014912224594248964,0.09990213726938654,0.706376385
main-3s-brettphos,main,3s-brettphos,0.063,0.0277,16.5405245,100000.0,100.0,10.0,0.6765152623225243,0.099999780698463,0.9684728312251738,0.03152716844210785,0.9589010735773787,0.0410989261465809,-1.386091557
main-3t-tbujohnphos,main,3t-tbujohnphos,0.7,0.0155,14.89200966,100.0,0.1,0.01,0.4830048448482822,0.09999831818653748,0.949320465008406,0.05067738815498708,0.935699840057193,0.0642984104894504,-0.254818996
main-3u-tbumephos,main,3u-tbumephos,0.448,0.0087,14.51649241,100.0,0.1,0.01,0.3008039559232924,0.09999806899296033,0.7303012431786948,0.0999951418059249,0.6360504747778641,0.09999625937737021,-0.122246337
main-3v-tbudavephos,main,3v-tbudavephos,0.855,0.0277,17.72333279,1000.0,1.0,0.1,0.12967577318797602,0.09999032163595888,0.5933038419608477,0.0999892861561395,0.42900805298403294,0.09998967676740371,0.25103535
main-3w-tbuxphos,main,3w-tbuxphos,0.829,0.0117,17.75883431,1000.0,1.0,0.1,0.782873681137233,0.02525530691157688,0.9851992283181099,0.014792301741279842,0.9841727673904054,0.015819165379422212,-0.668535183
main-3x-tbubrettphos,main,3x-tbubrettphos,0.66,0.0833,21.07302605,10000000.0,10000.0,1000.0,0.00010901816344589648,0.09630314663166949,0.0005458538263048152,0.09209526791425265,0.00038201328941912035,0.09330176018475075,2.571079511
main-3y-me4tbuxphos,main,3y-me4tbuxphos,0.343,0.0884,19.70944778,10000000.0,10000.0,1000.0,4.680640862619184e-05,0.09994699916388346,0.00023439132718604017,0.09989304129066233,0.00016400950147103,0.09990769496098727,2.55621755
main-3z-adjohnphos,main,3z-adjohnphos,0.257,0.0009,14.96045543,10.0,0.01,0.001,0.016298700634214958,0.09992280510817608,0.04910553433258148,0.09989880090171689,0.04039933737320457,0.09990934030885527,0.620591064
main-6cn3e-pcy3,main,6cn3e-pcy3,0.036,0.028,15.92933019,10.0,0.01,0.001,0.0014927381670082035,0.09947894840113158,0.006904466631280904,0.0993100060180368,0.004970983531781614,0.09934752671445568,0.677921787
main-6cn3h-ptbu3,main,6cn3h-ptbu3,0.907,0.0186,13.4672492,10.0,0.01,0.001,0.9111176009663198,0.06401426278607468,0.990546835951218,0.009451390227034591,0.987837990153269,0.012160575941975484,-1.915571716
main-6cn3m-cyjohnphos,main,6cn3m-cyjohnphos,0.106,0.0057,15.42700878,1000.0,1.0,0.1,0.24629760811622864,0.09996278221256216,0.37448538109631774,0.09984998145328836,0.3525099223745639,0.09989149921358166,-0.435194985
main-6cn3t-tbujohnphos,main,6cn3t-tbujohnphos,0.7,0.0155,14.55037793,100.0,0.1,0.01,0.8213134051999893,0.08757333831920344,0.9806342553316838,0.019364027202792046,0.9756326239524986,0.02436601180154056,-0.597469526
main-6ome3e-pcy3,main,6ome3e-pcy3,0.036,0.028,18.29064866,10000.0,10.0,1.0,0.000752101003137177,0.09860306412108731,0.003761242163124443,0.0974842080131208,0.002633956563560022,0.097759364825625,0.868597149
main-6ome3h-ptbu3,main,6ome3h-ptbu3,0.907,0.0186,16.24523402,100.0,0.1,0.01,0.1393044517697109,0.09998964112247669,0.6789714910363994,0.09998920061157214,0.47981821995073654,0.09998944616244007,0.258812527
main-6ome3m-cyjohnphos,main,6ome3m-cyjohnphos,0.106,0.0057,17.01523548,1000.0,1.0,0.1,0.24147858813264814,0.09982347910288776,0.5535930220419845,0.09954985420556682,0.4826678665170566,0.09964926769053921,-0.542993823
main-6ome3t-tbujohnphos,main,6ome3t-tbujohnphos,0.7,0.0155,16.82949265,100.0,0.1,0.01,0.023300709081786913,0.09969032555140714,0.09259621684235184,0.09960518830358048,0.07023196048165069,0.09963642678876927,0.788154269
main-9a-cbujohnphos,main,9a-cbujohnphos,,,15.68141668,100.0,0.1,0.01,0.7900530598225206,0.018374289678752986,0.9969873595414649,0.0030126365731079205,0.9956905202000423,0.004309476119501651,
main-9b-cptjohnphos,main,9b-cptjohnphos,,,17.0315035,1000.0,1.0,0.1,0.4633476444423372,0.0999812942985494,0.9643241270029603,0.035668790131648025,0.9480083852418804,0.051984974685994376,
main-9c-etjohnphos,main,9c-etjohnphos,,,15.87975693,1000.0,1.0,0.1,0.5371072767089932,0.09992310484035717,0.9500608611940462,0.049749760802149184,0.9383214906162144,0.06152850539396843,
main-9d-mejohnphos,main,9d-mejohnphos,,,16.81281642,1000.0,1.0,0.1,0.6606106622236393,0.0998200568945702,0.9774541756426818,0.022542789508960444,0.9678189890050389,0.03217825677702351,
main-9e-pcbu3,main,9e-pcbu3,,,15.38774221,10.0,0.01,0.001,0.09157682681424982,0.09998801965070939,0.42714788507228135,0.09998703267130851,0.3066889924107702,0.09998742220151031,
main-9f-pcpr3,main,9f-pcpr3,,,15.63215718,100.0,0.1,0.01,0.42825845724470246,0.0999946758361959,0.9505600360095503,0.0494350197698021,0.9338256614407909,0.06616998812624092,
main-9g-pet3,main,9g-pet3,,,14.70725532,1.0,0.001,0.0001,8.86258046280327e-05,0.08710111819051422,0.00044501752757142245,0.07352809756970143,0.0003113611730947032,0.0772737896989387,
main-9h-pme3,main,9h-pme3,,,16.00834916,10.0,0.01,0.001,0.0754456416199806,0.09998753807056535,0.34278461697038753,0.0999744690197999,0.24845502807559872,0.0999835781396452,
ob-3w-tbuxphos,ob,3w-tbuxphos,0.829,0.0117,17.75883431,1000000.0,1000.0,100.0,0.8999228088027831,0.014554570206877062,0.986186963192235,0.013805286865587168,0.9857520513787951,0.01424293784944975,-0.858325796
ob-3x-tbubrettphos,ob,3x-tbubrettphos,0.66,0.0833,21.07302605,1000000.0,1000.0,100.0,0.999048058402509,8.721960682264467e-05,0.999912625494608,8.714227547177868e-05,0.9999127401163136,8.716129975681404e-05,-2.392595273
ob-3y-me4tbuxphos,ob,3y-me4tbuxphos,0.343,0.0884,19.70944778,10000000.0,10000.0,1000.0,0.998891439562222,0.0010140357980433317,0.9989889602033447,0.001011039086696072,0.9989889488464565,0.0010110486762470003,-1.900690463
p1-3a-pph3,p1,3a-pph3,0.008,0.0001,13.59342585,100.0,0.1,0.01,1.6220621983769822e-08,0.03509209707774826,2.5936381230310734e-08,0.03500142579417025,2.4092724202752557e-08,0.035034463646568405,7.560020576
p1-3c-pipr3,p1,3c-pipr3,0.035,0.0131,16.90040123,10000.0,10.0,1.0,0.0063735301769135356,0.049278518964176836,0.02989478262430265,0.04631744422660596,0.021424362713280076,0.0472853934184644,0.155389203
p1-3d-pcpt3,p1,3d-pcpt3,0.04,0.0091,15.33131358,10000.0,10.0,1.0,0.0009876024285201688,0.061391272515054135,0.0036570594453829717,0.06209550673536763,0.0028258920890767637,0.061880217751272004,0.740487787
p1-3e-pcy3,p1,3e-pcy3,0.036,0.028,16.30834596,10000.0,10.0,1.0,7.454832128602611e-06,0.0512757197449078,3.466123736487383e-05,0.05030828720266606,2.491483583555395e-05,0.0506580338582848,2.670717406
p1-3j-iprjohnphos,p1,3j-iprjohnphos,0.085,0.0431,12.80648163,1000.0,1.0,0.1,0.8702808862284028,0.040778188388377594,0.9857855104786775,0.008054614355043153,0.9837403941135088,0.010042272544041228,-1.570604975
p1-3m-cyjohnphos,p1,3m-cyjohnphos,0.106,0.0057,15.33099982,10000.0,10.0,1.0,0.02243352463140819,0.01468463343523514,0.03612149682656987,0.01397454887050586,0.03382730140305581,0.014105964985747494,0.529191068
p1-3t-tbujohnphos,p1,3t-tbujohnphos,0.7,0.0155,14.89200966,100000.0,100.0,10.0,0.4789665175072767,0.09872357597646203,0.9494258387462614,0.050572019123136774,0.935821029244579,0.06417722485996893,-0.254731842
p1-9a-cbujohnphos,p1,9a-cbujohnphos,,,15.68141668,1000000.0,1000.0,100.0,0.05651529910291036,0.0007899966845271812,0.17005828840225087,0.0005427255253298034,0.13971376186494658,0.0006070813603409886,
p1-9b-cptjohnphos,p1,9b-cptjohnphos,,,17.0315035,100000.0,100.0,10.0,0.12608454367929234,0.02732170065380189,0.22267188640220348,0.00903136212031408,0.2014728797084174,0.011742659274168022,
p1-9c-etjohnphos,p1,9c-etjohnphos,,,15.87975693,1000.0,1.0,0.1,0.00011353260513281805,0.0018830772579818567,0.0002789801333054718,0.0015166959591671422,0.0002448305286055156,0.0016111144490604146,
p1-9d-mejohnphos,p1,9d-mejohnphos,,,16.81281642,10000.0,10.0,1.0,0.0001827949809399922,0.0013368279519950354,0.00031560525793870875,0.0006695467725171662,0.000292177330035911,0.0007978323271287201,
p1-9e-pcbu3,p1,9e-pcbu3,,,15.38774221,1000.0,1.0,0.1,0.0009344098799763561,0.0025132789194243573,0.004100855643816479,0.00240063619289677,0.0030075692958456157,0.0024395155837906046,
p1-9f-pcpr3,p1,9f-pcpr3,,,15.63215718,1000.0,1.0,0.1,0.00015630840960035553,0.0007689270785403977,0.0006113300779240436,0.0007654071140503236,0.0004653846921801358,0.0007666170823158823,
p1-9g-pet3,p1,9g-pet3,,,14.70725532,100.0,0.1,0.01,1.0438599829361963e-07,0.010246443482084755,5.216142552359094e-07,0.00883789100396934,3.6521527164454796e-07,0.009310043886786603,
p1-9h-pme3,p1,9h-pme3,,,16.00834916,1000.0,1.0,0.1,8.546416754216031e-05,0.002615180814299512,0.0002665804782461756,0.002406718154061877,0.00021685900073339153,0.0024647968259149068,
pd3oac6-3e-pcy3,pd3oac6,3e-pcy3,0.036,0.028,16.30834596,1.0,0.001,0.0001,0.0010271580620230068,0.09962440147249171,0.004935922580277608,0.09951446597156403,0.00350622538833768,0.09953583554468257,0.780046701
pd3oac6-3h-ptbu3,pd3oac6,3h-ptbu3,0.907,0.0186,14.02761524,1000.0,1.0,0.1,0.5400033958346699,0.09999759875875776,0.9634874135671326,0.03650827480356455,0.9509225922900767,0.04907369939136839,-0.229857328
pd3oac6-3m-cyjohnphos,pd3oac6,3m-cyjohnphos,0.106,0.0057,15.33099982,100.0,0.1,0.01,0.27451440470704147,0.09997377496941434,0.48514783788419596,0.09985308618627123,0.44493430693814995,0.09989737429175602,-0.519440866
pd3oac6-3t-tbujohnphos,pd3oac6,3t-tbujohnphos,0.7,0.0155,14.89200966,1000.0,1.0,0.1,0.4833250376799068,0.09999661555120151,0.949412528214065,0.05058532902744252,0.9358048812138303,0.06419192634609776,-0.255275656
yayb-3s-brettphos,yayb,3s-brettphos,0.063,0.0277,16.5405245,100000.0,100.0,10.0,0.04497061918932264,0.09999999521145295,0.11273913116927867,0.09999999021101408,0.09641049458572512,0.09999999203140514,-0.149897112
